policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper,denominator_sufficient,confirmatory_cell,operating_region
v2,bimodal_symmetric,bimodal,5,acceptable,200,110,0.55,0.48075615138475697,0.6173593159775166,0.10909090909090909,0.06351460897644062,0.18104883134757863,0.8909090909090909,0.8189511686524213,0.9364853910235593,False,False,false_safe
v2,bimodal_symmetric,bimodal,5,insufficient,200,90,0.45,0.3826406840224836,0.5192438486152432,0.05555555555555555,0.023960971616961965,0.12353736221799518,0.9444444444444444,0.8764626377820048,0.976039028383038,False,False,false_insufficient
v3_default,bimodal_symmetric,bimodal,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_symmetric,bimodal,40,insufficient,200,1,0.005,0.0008831687156009814,0.02777370439789293,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,False,False,false_insufficient
v3_default,bimodal_symmetric,bimodal,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,80,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,100,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,200,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,300,acceptable,10000,0,0.0,0.0,0.00038399837067659573,,,,,,,False,True,false_safe
v3_default,bimodal_symmetric,bimodal,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_symmetric,bimodal,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,8,acceptable,200,161,0.805,0.7445595562538726,0.8539447946559949,0.08074534161490683,0.04779318846585438,0.13323808263660591,0.9192546583850931,0.866761917363394,0.9522068115341455,False,False,false_safe
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,8,insufficient,200,39,0.195,0.1460552053440051,0.25544044374612745,0.02564102564102564,0.004540703100990098,0.13180990169850076,0.9743589743589743,0.8681900983014993,0.99545929689901,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,10,insufficient,200,36,0.18,0.13294625859420173,0.23911475028724882,0.027777777777777776,0.004920407139810443,0.14169718653273855,0.9722222222222222,0.8583028134672614,0.9950795928601897,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,15,insufficient,200,1,0.005,0.0008831687156009814,0.02777370439789293,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p001,normal_contamination_asymmetric,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
