policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v3_default,lognormal_sigma_1.00,lognormal,30,caution,10000,6465,0.6465,0.6370756447329917,0.6558118437444,0.15375096674400618,0.14516409821756743,0.1627490685373058,0.8462490332559938,0.8372509314626941,0.8548359017824325
v3_default,lognormal_sigma_1.00,lognormal,30,insufficient,10000,3535,0.3535,0.3441881562555999,0.3629243552670082,0.03790664780763791,0.032096363820560546,0.04472014858440158,0.9620933521923621,0.9552798514155985,0.9679036361794395
v3_oracle_simulation_truth,lognormal_sigma_1.00,lognormal,30,acceptable,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_oracle_simulation_truth,lognormal_sigma_1.00,lognormal,30,caution,10000,6465,0.6465,0.6370756447329917,0.6558118437444,0.15375096674400618,0.14516409821756743,0.1627490685373058,0.8462490332559938,0.8372509314626941,0.8548359017824325
v3_oracle_simulation_truth,lognormal_sigma_1.00,lognormal,30,insufficient,10000,3535,0.3535,0.3441881562555999,0.3629243552670082,0.03790664780763791,0.032096363820560546,0.04472014858440158,0.9620933521923621,0.9552798514155985,0.9679036361794395
v2,normal,normal,3,acceptable,5000,1934,0.3868,0.37339262649632116,0.4003811812240398,0.055842812823164424,0.04646205245335585,0.06698451347700789,0.9441571871768356,0.933015486522992,0.9535379475466441
v2,normal,normal,3,caution,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v2,normal,normal,3,insufficient,5000,3066,0.6132,0.5996188187759601,0.6266073735036788,0.04957599478147423,0.04244033189455532,0.0578389375563674,0.9504240052185258,0.9421610624436325,0.9575596681054446
v3_default,normal,normal,3,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_default,normal,normal,3,caution,5000,5000,1.0,0.9992322980549431,1.0000000000000002,0.052,0.04618252452365877,0.058505336419112416,0.948,0.9414946635808875,0.9538174754763412
v3_default,normal,normal,3,insufficient,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_oracle_simulation_truth,normal,normal,3,acceptable,5000,1220,0.244,0.23229476727826517,0.25609829611760415,0.054098360655737705,0.04274731447758981,0.06824864651199157,0.9459016393442623,0.9317513534880084,0.9572526855224102
v3_oracle_simulation_truth,normal,normal,3,caution,5000,3780,0.756,0.7439017038823958,0.7677052327217349,0.051322751322751325,0.04473286438269887,0.05882365696870548,0.9486772486772487,0.9411763430312946,0.9552671356173011
v3_oracle_simulation_truth,normal,normal,3,insufficient,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v2,normal,normal,30,acceptable,5000,4486,0.8972,0.8884748673840587,0.905315270190788,0.049041462327240305,0.04309875453229187,0.05575584042199722,0.9509585376727597,0.9442441595780029,0.9569012454677082
v2,normal,normal,30,caution,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v2,normal,normal,30,insufficient,5000,514,0.1028,0.09468472980921208,0.1115251326159413,0.033073929961089495,0.020750590305207865,0.05232478474659339,0.9669260700389105,0.9476752152534066,0.979249409694792
v3_default,normal,normal,30,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_default,normal,normal,30,caution,5000,5000,1.0,0.9992322980549431,1.0000000000000002,0.0474,0.04184958432057469,0.05364533948009102,0.9526,0.946354660519909,0.9581504156794253
v3_default,normal,normal,30,insufficient,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
