scenario,distribution_family,distribution_parameters,n,evidence_tier,decision_scope,total_replications,conditional_denominator,classification_count,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_rejections,type_i_error,type_i_ci95_lower,type_i_ci95_upper,coverage_successes,ci_coverage,coverage_ci95_lower,coverage_ci95_upper,mean_bias,rmse,mean_standard_error,empirical_sd_sample_mean,mean_se_to_empirical_sd_ratio,probability_extreme_count_positive,outlier_warn_rate,mean_extreme_count,mean_extreme_fraction,mean_delta_mean_remove_extremes,median_influence_ratio,p90_influence_ratio,mean_delta_standard_error_remove_extremes,mean_delta_t_statistic_remove_extremes,exact_normality_rejection_rate,shape_pass_rate
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",80,exploratory,acceptable,200,20,20,0.1,0.06567044866909588,0.1494058124327174,5,0.25,0.11186170140766569,0.468700877618744,15,0.75,0.531299122381256,0.8881382985923343,0.1405121571136811,0.1822540051675543,0.1208390248412742,0.11908800860078282,1.014703547914394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",80,exploratory,caution,200,108,108,0.54,0.4708228918895333,0.6076694820002854,8,0.07407407407407407,0.03801024869807134,0.13939676145640315,100,0.9259259259259259,0.8606032385435969,0.9619897513019287,0.006299976326296953,0.11693855623257374,0.11102859078652655,0.11731310899736135,0.9464295314944202,1.0,1.0,4.842592592592593,0.060532407407407424,0.14599450364326275,1.4091904052597424,2.142580610405055,0.016265551173396262,1.7524270842896454,1.0,0.3888888888888889
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",80,exploratory,insufficient,200,72,72,0.36,0.2966919730456654,0.42858471833996925,2,0.027777777777777776,0.007651021904494577,0.09574175221438225,70,0.9722222222222222,0.9042582477856177,0.9923489780955054,-0.03633853219946123,0.10014415867909196,0.10965026863709391,0.09397348883336197,1.1668213024582998,1.0,1.0,11.208333333333334,0.14010416666666667,0.32992239934901535,3.0221552769184274,3.519221822801522,0.043071515114366465,5.563509068118687,1.0,0.09722222222222222
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",100,exploratory,all,200,200,200,1.0,0.9811546736227335,1.0,5,0.025,0.010724719651761264,0.05717834040664198,195,0.975,0.942821659593358,0.9892752803482386,-0.0035181802593441396,0.08758314855039083,0.09952173223707099,0.08773206307914573,1.1343826731543911,0.95,0.95,8.255,0.08255000000000001,0.19656091695879482,2.1107571049604767,3.4327620933571317,0.020850355861092202,3.0622028096486575,1.0,0.33
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",100,exploratory,acceptable,200,10,10,0.05,0.02738264560076393,0.08957814813877599,0,0.0,0.0,0.2775327998628892,10,1.0,0.7224672001371107,0.9999999999999999,0.11359437888448302,0.1228921409129456,0.10829104226844026,0.04942778552838246,2.1908940712356473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",100,exploratory,caution,200,119,119,0.595,0.525797100813387,0.6606222871749323,3,0.025210084033613446,0.008610231289265309,0.07150489364635793,116,0.9747899159663865,0.9284951063536421,0.9913897687107348,-0.000829615231917829,0.08481399709058206,0.09924591645277599,0.08516854551291766,1.1652883802943796,1.0,1.0,6.07563025210084,0.0607563025210084,0.14619708529396172,1.5070909393818455,2.3617406326615105,0.014408939400224268,1.9385836359679722,1.0,0.37815126050420167
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",100,exploratory,insufficient,200,71,71,0.355,0.2919862754043116,0.42347886924509565,2,0.028169014084507043,0.007759263582683522,0.0970150011664947,69,0.971830985915493,0.9029849988335054,0.9922407364173166,-0.02451909335373855,0.086163987185182,0.09874890094154162,0.08318965587841858,1.187033410570454,1.0,1.0,13.070422535211268,0.13070422535211268,0.30865817241940147,3.0376668148416206,3.804908478861848,0.03458320258579934,5.376748017599196,1.0,0.15492957746478872
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",200,exploratory,all,200,200,200,1.0,0.9811546736227335,1.0,14,0.07,0.042152171828342806,0.11405480885610647,186,0.93,0.8859451911438936,0.9578478281716571,0.005358952844177218,0.07322813503075759,0.07081025822765141,0.07321505038248145,0.9671544014206477,1.0,1.0,16.705,0.08352499999999999,0.1997120839728737,2.8777086524842437,4.469037209676138,0.014172164399187483,3.935447210207714,1.0,0.34
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",200,exploratory,acceptable,200,0,0,0.0,1.734723475976807e-18,0.018845326377266575,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",200,exploratory,caution,200,137,137,0.685,0.6176504391426966,0.745376790097715,9,0.06569343065693431,0.03494333900466338,0.12013499519876591,128,0.9343065693430657,0.879865004801234,0.9650566609953366,0.013897236900819702,0.0738510629543947,0.07105611552595574,0.0727978639758273,0.9760741819231137,1.0,1.0,12.91970802919708,0.06459854014598541,0.15578125246262736,2.260892710730848,3.2951889715329297,0.010465253981055085,2.7355545048891696,1.0,0.44525547445255476
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",200,exploratory,insufficient,200,63,63,0.315,0.2546232099022851,0.3823495608573036,5,0.07936507936507936,0.03437584717681855,0.17270309850904084,58,0.9206349206349206,0.8272969014909591,0.9656241528231814,-0.013208426771061193,0.07185487585336969,0.0702756161662595,0.07119777324202464,0.9870479506061177,1.0,1.0,24.936507936507937,0.1246825396825397,0.29524420963801257,4.147615131214819,4.913043902192907,0.022233223562427778,6.54473769637661,1.0,0.1111111111111111
