policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v3_default,bimodal_asymmetric,bimodal,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,40,caution,200,200,1.0,0.9811546736227335,1.0,0.08,0.049840585889759974,0.12598948826714396,0.92,0.874010511732856,0.9501594141102401
v3_default,bimodal_asymmetric,bimodal,40,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,40,all,200,200,1.0,0.9811546736227335,1.0,0.08,0.049840585889759974,0.12598948826714396,0.92,0.874010511732856,0.9501594141102401
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,40,caution,200,200,1.0,0.9811546736227335,1.0,0.08,0.049840585889759974,0.12598948826714396,0.92,0.874010511732856,0.9501594141102401
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,40,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,50,all,200,200,1.0,0.9811546736227335,1.0,0.065,0.03837635464915299,0.10801907929906895,0.935,0.8919809207009312,0.961623645350847
v2,bimodal_asymmetric,bimodal,50,acceptable,200,28,0.14,0.09866982633455634,0.1948988086570756,0.10714285714285714,0.03711836682929999,0.27195851548672156,0.8928571428571429,0.7280414845132785,0.9628816331707
v2,bimodal_asymmetric,bimodal,50,caution,200,14,0.07,0.042152171828342806,0.11405480885610647,0.14285714285714285,0.040093921271464966,0.39941379496970353,0.8571428571428571,0.6005862050302965,0.9599060787285351
v2,bimodal_asymmetric,bimodal,50,insufficient,200,158,0.79,0.7283538314009754,0.8407158793002101,0.05063291139240506,0.025876825383582304,0.09672129604509741,0.9493670886075949,0.9032787039549025,0.9741231746164177
v3_default,bimodal_asymmetric,bimodal,50,all,200,200,1.0,0.9811546736227335,1.0,0.065,0.03837635464915299,0.10801907929906895,0.935,0.8919809207009312,0.961623645350847
v3_default,bimodal_asymmetric,bimodal,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,50,caution,200,200,1.0,0.9811546736227335,1.0,0.065,0.03837635464915299,0.10801907929906895,0.935,0.8919809207009312,0.961623645350847
v3_default,bimodal_asymmetric,bimodal,50,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
